name,category,symptom_list,description,url
abdominal abscess,digestive,"colic, depression, loss of appetite, fever, irregular heart rhythm, weight loss","an intra-abdominal abscess is a potentially life-threatening condition where a pocket of infected fluid and pus is found inside the abdominal cavity of the horse. if an abscess ruptures it can cause fatal septic peritonitis. abdominal abscesses are most often caused by invasion with bacteria including streptococcus spp., corynebacterium spp., clostridium spp., bacteroides spp., and escherichia coli. they are often brought on by a complication of a previous strangles infection.",https://horsedvm.com/disease/abdominal-abscess-in-horses
acorn toxicity,digestive,"depression, loss of appetite, diarrhea, frequent urination, colic, blood or acorn pieces in feces or urine","acorns, young buds, twigs and leaves from oak trees (quercus spp) are toxic to horses if ingested in sufficient quantities. oak tree parts contain polyphenolic complexes known as hydrolyzable tannins, specifically gallotannins, which are toxic to horses. when large amounts of tannins are present in the horse's system, they negatively interact with the levels of protein in their body, causing damage to their gastrointestinal system, renal functioning and less frequently, liver. the concentration of hydrolyzable tannins present varies based on oak species, season, and stage of growth; they are highest in immature leaves (which grow in the spring) and acorns that have recently fallen from trees (occurs in the fall). eating small amounts of leaves or acorns is generally harmless. however, when it can become a problem is when horses develop an acquired taste, and actively seek them out in pastures, which can occur. consumption of small quantities of acorns may only result in mild clinical signs, in which recovery is possible. however, when large quantities of acorns are ingested, signs are much more severe, often causing typhylocolitis leading to diarrhea, colic and acute renal tubular nephrosis.",https://horsedvm.com/disease/acorn-poisoning
acquired equine polyneuropathy,neurological,"bilateral pelvic limb knuckling, weakness, ataxia, hindlimb atrophy, hindlimb lameness, inability to stand, multiple horses on the premises affected","acquired equine polyneuropathy (aep), also known as scandinavian knuckling syndrome, is an emerging disease affecting horses in sweden, finland, and norway. cases of aep were first reported in horses in 1995 and since then, have occurred mainly during the late winter to early spring (january through may). between 1995 and 2004, there was 334 documented cases of aep in horses, residing at 136 different farms throughout norway and sweden. there was reported cases every year (1995-2012) except for 1997. 88% of the affected farms were located in norway, and 12% were in sweden. the associated fatality rate for aep is between 29-53%. aep most commonly presents in affected horses as signs of bilateral pelvic limb knuckling. while assuming the knuckling stance, weight is supported by the dorsal surface of the foot, with severely affected horses becoming paraplegic and recumbent. the severity can range from mild to severe, in which a grading system is used to better rate the stage of the condition in horses:grade i: intermittent knuckling of one or both hindlimb fetlocks when exercised or stressed that was corrected immediately.grade ii: knuckling of one or both hindlimbs when exercised or stressed that remained in the abnormal position for over 3 seconds.grade iii:: knuckling of both hindlimbs when stressed, unable to run, or collapse of the pelvic limbs when attempting to run.grade iv: paraplegia and recumbencyrecent research suggests the condition is caused by exposure or ingestion of a toxin, possibly from the forage.",https://horsedvm.com/disease/acquired-equine-polyneuropathy
acute respiratory distress syndrome,respiratory,"respiratory distress, shortness of breath, coughing, abnormal respiratory sounds, heave line, nasal discharge","acute respiratory distress syndrome (ards) or acute lung injury (ali), is a severe, life-threatening condition characterized by widespread inflammation in the horse's lungs. the condition is most often caused by sequela of sepsis or significant trauma but can also result from a primary respiratory infection such as from rhodococcus equi infections. ards prevents oxygen from getting to the horse's lungs and into the blood. most humans who have this condition receive oxygen from a breathing machine; however, it isn't a practical treatment for horses suffering from ards.",https://horsedvm.com/disease/acute-respiratory-distress-syndrome-in-horses
aflatoxicosis,toxic,"depression, jaundice (yellowing of mucous membranes), ataxia, loss of appetite, brown urine, poor haircoat, increased heart rate, increased respiratory rate, convulsions, rapid weight loss, weakness, sudden death","aflatoxicosis is a fungal toxicosis caused by eating feed contaminated with aflatoxins. aflatoxins are a specific type of mycotoxin that are produced by two types of fungi, aspergillus flavus and a. parasitus. there are over 20 types of aflatoxins, although the four major types are designated as b1, b2, g1 and g2. aflatoxin b1 is the most dangerous. aflatoxins mainly cause damage to the horse's liver. clinical signs that may or may not develop prior to death, are related to liver failure resulting from damage caused by aflatoxins. clinical signs of aflatoxicosis horses may develop acute or chronic aflatoxicosis, depending on the amount of the toxin they've eaten. horses that develop acute aflatoxicosis usually won't show any clinical signs other than sudden death. in chronic cases, which are the most common, clinical signs include loss of appetite, weakness, depression, anemia, jaundice (yellowing of mucous membranes), weight loss, and eventually death from liver failure. risk of feed contamination the fungi which produce the toxins grow on carbohydrate rich feeds such as peanuts, cottonseed, corn, sorghum and cereal grains when they are stored in warm (78-90°f (25.5-32°c)), humid (relative humidity of 97-99%) conditions. peanuts and corn can be contaminated before harvest, when drought leads to premature drying of the developing seeds.",https://horsedvm.com/disease/aflatoxin-poisoning
african horse sickness,infectious,"fever, coughing, difficulty breathing, swelling of head, neck, chest and eyelids, profuse nasal discharge, profuse sweating, depression, colic, death","african horse sickness (ahs) is a severe, infectious, insect-borne, often fatal disease of horses caused by the ahs virus (ahsv). ahsv is a member of the genus orbivirus and reoviridae family. there are 9 different serotypes of ahsv. ahs is endemic to africa, predominately found in the central tropical regions, however it spreads regularly to southern africa and occasionally northern africa. other hosts that are affected by ahsv include donkeys, mules, and zebras. ahs is the only equine disease for which the world organization for animal health (oie) observes official recognition status, which requires that other countries immediately notify oie of any outbreaks of ahs that occur in their country. a polyvalent, live-attenuated vaccine (lav) against ahsv was developed in the 1930s. the vaccine is used widely in horses in endemic areas. the vaccine provides protection against all 9 ahsv types and is supplied in 2 separate vials, each containing different combinations of ahsv types. ahs has both a seasonal and epizootic cyclical incidence, with increased incidences associated with drought followed by a heavy rain. seasonally, most cases of ahs occur during the late summer and autumn. major outbreaks of ahs are strongly linked with the warm (el nino) phase of the el nino/southern oscillation (enso). first cases of ahs outbreaks generally start in february, with the more serious outbreaks occurring in march and april. immediately following the first frosts, which usually coincides with the end of april or the start of may, the disease abruptly disappears. however, with delayed frost or in areas such as parts of south africa which doesn't usually get frost, usually continues to see cases of ahs well into may or june. four manifestations of ahs ahs manifests as four different forms--subclinical form, subacute or cardiac form, acute respiratory or pulmonary form, or a mixed form (consisting of a combination of cardiac and pulmonary forms). subclinical form: also referred to as horse sickness fever, this form of ahs is the most mild and rarely causes death. clinical signs include fever that slowly develops over a course of 4 to 5 days to where it peaks at (104 - 105°f (40 - 40.5°c) then drops back to normal.subacute or cardiac form: also known as the ""dikkop"" form of ahs, and is a milder form. affected horses have a 50% chance at recovery. clinical signs include acute onset of fever (102 - 106°f (39 - 41°c) that persists in horses for 3 to 4 days. as the fever starts to decline, various parts of the horse's body start to swell, most commonly the supraorbital fossa, eyelids, facial tissues, neck, thorax, brisket, and shoulder regions. a gradual decrease in swelling occurs in horses that recover over a course of 3 to 8 days.acute respiratory or pulmonary form: also referred to as the ""dunkop"" or simply ""pulmonary"" form, this is considered the peracute form of ahs. this form of ahs occurs when ahsv infects fully susceptible horses, such as foals that have lost their maternally derived passive immunity. horses affected by this form of ahsv have an extremely poor prognosis, and have less than 5% chance of recovery.mixed form: this form of ahs is considered to be the most common form observed in cases of ahs in horses. horses affected by this form of ahs develop a combination of clinical signs related to the subacute or cardiac form and the acute respiratory or pulmonary form. affected horses have a 20-30% chance of survival.transmission ahsv is transmitted between hosts primarily by biting midges of the genus culicoides, similar to bluetongue virus (btv) in ruminants and equine encephalosis virus (eev) in horses. incubation period the incubation period for ahs is typically 7-14 days, however it can be as short as 2 days.",https://horsedvm.com/disease/african-horse-sickness
air embolism,cardiovascular,"sudden death, restlessness, ataxia, seizures, blindness, itching","an air embolism, also called a gas embolism­, is when an air bubble or air bubbles enter a vein or artery and block it. these air bubbles can travel to the brain, heart, or lungs and cause a seizures, blindness, ataxia or sudden death. air embolisms are caused by accidental injection of air into the horse's veins through a syringe, iv, or catheter. this is why it is extremely important horse owners do not give their horses intramuscular injections prior to being educated on the proper procedure by their veterinarian; it could have fatal consequences to the horse.",https://horsedvm.com/disease/air-embolism
anaplasmosis,infectious,"high, fluctuating or intermittent fever (102.9-106.3°f), depression, partial loss of appetite, increased heart rate (50-60 beats/min), petechiation, reluctance to move, lower limb edema in all four legs, poor body condition, ataxia, dehydration, icterus, base-wide stance, staggering, icterus","anaplasmosis is a common tick-transmitted disease of horses. it is caused by anaplasma phagocytophilum, a bacterium that was previously called ehrlichia equi and associated with the disease equine ehrlichiosis. ticks transmit this bacteria to horses as well as other animal species, including humans. younger horses under 4 years of age tend to have mild or no clinical signs where as older horses may become more ill. once bitten by an infected tick, the horse generally starts to show early signs of the disease within 3-14 days. during the early stages of the disease, the horse develops a very high fever of 103 to 106°f (39.4°c to 41.3°c). other clinical signs include reluctance to move, depression, reduced appetite, occasional staggering, and mild edema in the lower limbs. diagnosis diagnosis is based on clinical signs and testing for the presence of the organism from a blood sample. treatment treatment is usually very effective if started soon after the signs of illness begin. horses are usually given a course of antibiotics (oxytetracycline), administered intravenously followed by oral doxycycline. other supportive care includes stall rest, nonsteroidal anti-inflammatory drugs (nsaid, eg. banamine), and wrapping the legs for support.",https://horsedvm.com/disease/anaplasmosis-in-horses
angular limb deformities,foals,"crooked or rotated legs, abnormal gait","angular limb deformities (ald) are a type of developmental orthopedic disease (dod) found in young, growing horses. ald can be either acquired or congenital deformities in a young foal. ald is presented as either a valgus deformity or a varus deformity. valgus deformities give the horse a 'knock-kneed' appearance and are the lateral deviation of the leg situated away from the center of the body to the location of the deformity. varus deformities are the medial deviation of the leg situated away from the center of the body to the location of the deformity, giving the foal a 'bowlegged' appearance. both types of deformities are also typically associated with a certain degree of axial rotation. deviations which occur in the fetlock are considered more urgent. management of ald in foals must begin early. once the foal's growth plate closes, any potential for therapeutic intervention to correct the limb deformities is lost.",https://horsedvm.com/disease/foal-angular-limb-deformities
anhidrosis,integumentary,"decreased to no sweat production, labored breathing during and long after exercise, loss of appetite, thinning, patchy hair coat, facial hair loss, reduced water intake, lethargy and exhaustion","anhidrosis, more commonly known as non-sweating syndrome, is a condition in which horses are unable to sweat properly. horses that are unable to sweat will overheat much faster than a normal horse, due to the inability of the body to cool itself through sweating the heat produced during muscular activity. it can have a big impact on the horse's performance, as without the ability to regulate their body temperature during exercise, they are prone to overheating which limits their performance. in addition, it can put affected horses at increased risk of developing hyperthermia or heat stroke. the disease usually happens in horses living in very hot, humid climates. it is usually easy to spot because affected horses will maintain a dry coat even after strenuous exercise in the heat. it is a problem for horses that are transported from northern states to southern states in the united states for a portion of the year. some horses with equine pituitary pars intermedia dysfunction (ppid) that are living in tropical climates develop anhidrosis and heat stress with secondary exercise intolerance. once treated for ppid the condition will generally resolve. onset of anhidrosis might be abrupt or gradual. horses most frequently develop incomplete or partial anhidrosis, however chronic cases also occur. the more a horse is worked until they develop signs of heat stress, the more likely they will eventually develop anhidrosis. latest research latest research studies conducted in florida found that horses that come from sires and dams with a history of anhidrosis are more likely to develop anhidrosis. it has also been shown that the earlier anhidrotic horses can be treated, there is less chance of permanent structural damage to the sweat glands.",https://horsedvm.com/disease/anhidrosis
